,Composition,Formation Energy Per Atom,Corrected Energy
164092,Ga2Hf8Sn4Ti2,-0.4437,-124.6428
164093,Lu5Mn1Sb2Zr1,-0.5776,-53.7712
164094,In1Ru8Sc4Ta3,-0.5806,-147.14
164095,Bi1Dy9Ho1Sn5,-0.7207,-81.5123
164096,B4Ga2Nb3Ru10Sc1,-0.526,-172.6747
164097,Fe3Ru8Si5,-0.4375,-133.7316
164098,Cl30Tc1,-0.6701,-86.5887
164099,As6Tm2Yb6,-1.292,-64.2316
164100,Cd2Li1Sn3Y1Yb2,-0.5952,-30.6861
164101,Ga20Lu4Tb8,-0.6514,-136.5656
164102,Co1Ho2Ni1Pa1,-0.3689,-33.4126
164103,Ir3Rh3V2,-0.4549,-70.4152
164104,Mg3Pt9Si7Yb2,-0.8661,-118.6836
164105,Ce10Os2Pb6,-0.3911,-111.101
164106,Ge2Pd28Pr2Sm2,-0.5032,-190.3904
164107,B1Ce4Pt5Rh7,-0.8601,-126.9375
164108,Ba4N11Pu2U2,-1.2121,-173.5251
164109,Mg4Rh2Ru2Y4,-0.4308,-70.7138
164110,Pr7S12Th1,-2.3636,-137.7903
164111,Hg2La3Pt4Th1,-1.0218,-57.3307
164112,In6Pd12Ti5Yb1,-0.6073,-134.2616
164113,Ce1Pr2Sn7,-0.6193,-49.7553
164114,Er2Na4Np2Te8,-1.277,-85.9172
164115,B16Dy4Li1Ru1Tc2,-0.5987,-171.5705
164116,Dy6Rh1Sc12Si15Tm2,-0.8319,-231.2738
164117,Bi4In2Lu3Tm7,-0.5471,-74.7105
164118,Er3Ho4Ru6Sn23,-0.4606,-196.4823
164119,Ac1B1Rh3,-0.6142,-35.9646
164120,Cu1Ho3In3Ni1Zn1,-0.4697,-37.3686
164121,Dy8Hg4Ir4Y8,-0.5817,-139.1156
164122,Be3Si13Ta12Zr8,-0.7269,-318.5916
164123,Hg4La6Sn6,-0.7052,-66.1717
164124,Nd10Os3Pr2Rh1,-0.1842,-101.2374
164125,Co2Ga1Ho8Lu8Tl5,-0.3245,-109.6678
164126,Ni4Pt1Pu1,-0.3348,-45.4683
164127,Cu2Hf18Mo6V2,-0.127,-274.2242
164128,Ac1Ga2Mg2,-0.394,-15.348
164129,Cu3Ga1Lu1Zn1,-0.3112,-22.9736
164130,Ac6Ag6Sb8,-0.8368,-91.4906
164131,Cr2Ni10P7Y2,-0.7883,-144.4869
164132,Er1Ga9Ru5Y1,-0.519,-92.9633
164133,Cd6Ho20Os1Pd1,-0.2663,-121.05
164134,Ga1Np2Sn5,-0.1514,-50.1829
164135,Ir5Rh7Tb19Y1,-0.7564,-214.4661
164136,Er1In1Ni2Zn2,-0.3903,-23.7412
164137,Br17Co1Fe1Y12,-1.7567,-175.4621
164138,Co3Mn1Nd1O12Sr5,-2.5433,-159.0311
164139,Ac13O1Si14,-0.7366,-155.1037
164140,Au2Cd4La16Ru2,-0.3495,-116.1513
164141,Ga12Ho4Ir1,-0.5988,-73.6854
164142,Li4Nd1Pb4Pr2,-0.5234,-42.5735
164143,Er12O4Os8Ta4,-1.2421,-246.6341
164144,Cd2Ce6Pb6Pr4,-0.4421,-86.8018
164145,Na1Rh1S16Ta8,-1.398,-206.0812
164146,As4Co4Hg4O20,-1.3253,-189.6547
164147,Ba3O26Pa6Si4,-3.7844,-360.7852
164148,Fe1I1Mn2N12P6,-0.5382,-172.6759
164149,Ca4Mo1O12Ta1V2,-3.0281,-168.8319
164150,Au6C1Zn17Zr6,-0.4057,-113.743
164151,Bi6Cu1Pr10Se1,-0.9459,-95.7713
164152,Dy2Ru2Tc2Tm10,-0.2567,-97.3486
164153,Eu2H2Ni2Sb2,-0.7064,-52.8389
164154,Cd2Nd3Pd4Th1,-0.7409,-51.6928
164155,Cu1Dy1In1Pt3,-0.7511,-34.1771
164156,Ce6Mg1Sb10Sc1,-1.0182,-103.1485
164157,Ir2Pt4Sc6Sn6,-0.9621,-121.3304
164158,Be22Ce1Cu4Th1,-0.1778,-116.9899
164159,B16Ce1Tc4Yb3,-0.5191,-171.3236
164160,Ag1Lu8Si16Yb11,-0.6158,-164.9101
164161,Hf5Li2Mg1Ru12Si16,-0.7402,-279.948
164162,Dy4Fe9Mn11P12,-0.7614,-287.8098
164163,Ir1Nd8Pd2Pt1Si12,-0.9243,-150.7013
164164,B4Be2Co9Dy1Er2,-0.4607,-120.2052
164165,Dy1Nd1S2,-2.2629,-26.6992
164166,Cl12Fe1Nb2,-1.62,-75.1544
164167,Ce6Tc6Th8,-0.156,-160.1933
164168,Al20Er1Os4Yb1,-0.4364,-137.2753
164169,Br2In6La8Lu2,-0.7268,-81.3961
164170,Al23Ni6Pa4,-0.4235,-172.8627
164171,Ho1In8Rh4Sc4Tm5,-0.6894,-118.9299
164172,Dy10Te18,-1.552,-146.1045
164173,As6Cs2In1Rb1S12,-0.7822,-100.3238
164174,As2Ca1Pd2Sm1,-1.0745,-32.8493
164175,Ca1Pr11Rh12Si8,-0.8855,-214.7066
164176,Co2Cs2Ni2Se8V2,-0.9278,-88.5481
164177,Eu6N12Sr2Ta4,-1.3672,-245.4121
164178,Dy2In2Ir2Pt2Si2,-0.9888,-65.2738
164179,P7Pr1Pt1Ru11Sc1,-0.745,-172.7415
164180,As1Ba5Bi1Sn8Sr1,-0.6845,-62.8628
164181,Ac4Ge2Ir4,-0.6691,-67.7753
164182,Al2Au2I2Sr4,-1.0133,-33.9779
164183,Ba1Ga6Zn1,-0.2968,-23.722
164184,Bi8Pb4Sc16Tb4,-0.5908,-184.7321
164185,Ge1Pt24Tb8,-1.0067,-220.6217
164186,Ho3Li12O48Tb9W8,-3.0169,-660.8832
164187,Co2Os2Th4Y8,-0.2275,-121.6992
164188,Cr1Re2Si3Ta3,-0.4892,-90.7941
164189,Pr7Sm1Sn16Y12,-0.8098,-209.087
164190,Dy7La3Sb4Tl4,-0.7884,-87.2097
164191,Bi1In2Pb2Sn3Zr10,-0.4327,-122.1131
164192,H20Lu4Tc4,-0.461,-140.2883
164193,Ho3Os6Si10Yb1,-0.6801,-150.5053
164194,Er1La1Ni4P4Pa2,-1.1583,-87.2069
164195,Mn1Ni1Pt1Ru1Sb12,-0.3345,-85.1872
164196,As2Ir3Ni1Tm3,-1.0184,-64.2069
164197,C1Ge6Ta6Ti4,-0.5873,-149.6778
164198,Ga1I16Rh2Sc12,-1.2934,-158.2249
164199,F10Ga1Ni1Sr2,-3.2137,-76.2943
164200,Co2Dy6Mn15Ni1P12,-0.8667,-281.2279
164201,Au2Bi1Ho3Mg3,-0.6334,-34.6866
164202,Bi1Fe1O16S2Sb5,-1.8138,-165.7898
164203,Ir1Nd1P12Ru3,-0.6937,-118.1815
164204,Ho4Th1Tl15,-0.2061,-65.2898
164205,Ca2Ga1Ge1La5Pr3Si4,-0.6145,-82.1133
164206,Al18Lu5Os8Si6Y1,-0.6412,-243.2294
164207,Er1La3P12Pr1Ru19,-0.8368,-295.4533
164208,B24Ir1Lu8Ru1Ta2,-0.713,-263.97
164209,B24Ce1Er4Re4Y3,-0.6549,-277.2624
164210,La3Sn1Te2,-1.5052,-34.1351
164211,Er3In4Ir1Li1,-0.5766,-40.6463
164212,Co13Dy4Ni5P12Ru2,-0.8564,-254.0735
164213,Ac1Ce1Pd4Sn4,-0.7637,-54.4489
164214,Ag2Lu1Te4Tm1,-1.0898,-35.9539
164215,Au1Cd2Pd1Sn4Sr2,-0.5258,-34.9748
164216,F28Lu1Pd4Tm3,-2.8665,-195.3836
164217,In2Nd1Pr3Rh2Ru1,-0.5534,-53.5978
164218,Au4Er10In8,-0.6286,-94.6159
164219,C3Pr2Re17,-0.0641,-250.2095
164220,Al1Hf1Ni16Si6Zr5,-0.7482,-203.1734
164221,Cd3Co1Dy15In1Ni3Th1,-0.306,-113.8282
164222,In3Ir1Li1Rh3Tb16,-0.5068,-127.4087
164223,Ca3Hg8Y4Yb1,-0.5688,-44.9521
164224,Co4N4Pd4Zr16,-0.9156,-244.8997
164225,Ce10Ge4Tc6,-0.3988,-147.9625
164226,Ag2K10S14Sn4,-1.1187,-124.2796
164227,Dy15Ho4Sn16Tm1,-0.7369,-182.5877
164228,As5Er4Hg1Rh7,-0.9331,-109.2827
164229,B4Ir8Lu4Rh2Sc2,-0.9023,-160.9485
164230,Co1Ir2Nd2Pa1Sn3,-0.7431,-62.553
164231,O12Pr5Ru1Ti1,-3.3502,-164.1038
164232,Al1Be8Nb1Os2,-0.4341,-71.426
164233,Hf18Mo3P1Re5Ru1,-0.3461,-298.3662
164234,As1Cu1Hf10Sn6,-0.5187,-141.725
164235,As12Co1La1Os3,-0.4062,-108.541
164236,Eu2Li3Pb3Sr1,-0.4725,-43.3996
164237,Ce2La1Rh3Sn3,-0.8903,-58.9362
164238,Er8Hf12Ni1Si15,-0.7949,-271.8051
164239,Os2Ru3Tb4Tc3,-0.2823,-103.2849
164240,B4Ir10Sc4Sn2,-0.7505,-163.4604
164241,Ir1Lu1Rh2Sn3U2,-0.6303,-68.372
164242,Au2In2La4Rh2,-0.7889,-54.4132
164243,As4P6Se18,-0.3786,-124.6444
164244,Au1Hf1Mn1Pd5,-0.5894,-53.0073
164245,Co11Fe4Pt1Si7Zr6,-0.6554,-226.4117
164246,Np4Pr8Se20,-1.9091,-221.0492
164247,Er7Ho3In8Pd3Ru1,-0.6432,-106.6992
164248,Ca2Ni4Sb4Zr2,-0.7639,-69.9105
164249,Ce16Ir12Mg1Tm3,-0.681,-237.8113
164250,Ir1Rh5Sn6Zr6,-0.7724,-134.9077
164251,Al24Ho4Lu2Pt2Ru6,-0.7258,-212.6329
164252,La1Pa1Rb4Te6,-1.3982,-54.0106
164253,Ce2Ir2P4Rh2,-1.1049,-76.974
164254,In1Na1Rb4Te4,-1.0905,-31.4791
164255,Au4Ce1Cu1Zn1,-0.43,-27.3973
164256,La14Pt4Rh1Ru1,-0.6581,-123.1884
164257,Cd4Ir3Ru1Y16,-0.472,-154.2728
164258,Cl12Cs6Tm1Y1,-2.5228,-88.9523
164259,Dy1Ir16P12Sc4Zr3,-0.9943,-297.7481
164260,Pt10Si2Th1Y5,-1.218,-133.2307
164261,Er4Fe4Ni4P12Ru12,-0.8478,-282.043
164262,Nd3Pt2Ru1Sn3,-0.9026,-55.8728
164263,Ir6Mn1Os1Tm4,-0.7614,-100.4597
164264,Ca1Er1Nd1Pd20Si6,-0.7995,-170.6759
164265,Br12Ir3La1Nd11Rh1,-1.6478,-157.0459
164266,Co4Dy2Er2Ga1,-0.3422,-52.8899
164267,Dy11Pd12Si12Yb1,-0.994,-215.2605
164268,Er1Fe1I12Tb6,-1.4185,-87.5022
164269,Bi1Er6Sn5Zr4,-0.653,-95.9838
164270,B24Ir1Mo3Tm8,-0.6588,-261.2055
164271,Dy1La7Li1Pt6,-0.9962,-92.4363
164272,Cd1In3Pr16Ru4,-0.2954,-129.8605
164273,Ir8Si20Y3Zr7,-0.8776,-291.7971
164274,Be2F12K2Tb2,-3.8988,-112.0846
164275,Al1Dy5Sb5Y5,-0.9134,-94.3714
164276,As2Ce1La1Nb2O2,-2.1209,-67.253
164277,Cd4Co2Dy4Ru2Y12,-0.2982,-139.6384
164278,Fe7Ru5Sc5Si16Zr3,-0.7994,-278.5523
164279,Fe3Mn9P7Sm2,-0.6932,-169.7547
164280,Al1Se8Tc1Ti3,-1.2781,-82.3756
164281,Au1Sn2Y3Zn3,-0.6369,-40.2034
164282,Ba2Br2F10Sn4,-2.8854,-94.2019
164283,Dy3Er9Os4,-0.2849,-104.397
164284,Co1Fe3O24Pt8,-1.1096,-239.7825
164285,Dy6La2S12,-2.4223,-135.596
164286,Co4Nd12Pb1Pd1,-0.2315,-98.7109
164287,Ag1Pt2Sm1Zn2,-0.6799,-26.2917
164288,Er10Sn16Tb8Tm2,-0.7425,-182.5868
164289,Ac2Si2Th2Zn10,-0.4101,-53.0792
164290,Au12Ca12Sn4,-0.7891,-101.4861
164291,B2Co6Ge1Si1Y2,-0.5693,-85.821
164292,B8Be4O20Pb4,-2.6518,-277.6691
164293,Ce1Ru6U1Yb4,-0.2982,-82.6081
164294,Ga4La3Pt2Rh2,-0.9438,-64.1728
164295,Ga1Nd4Si1Zn10,-0.4314,-47.025
164296,C8Dy1Er1Pa2W4,-0.3647,-159.6861
164297,B16Er1Ga2Ho9Si2,-0.6516,-189.1347
164298,Au4Li22,-0.2612,-61.8824
164299,Ge2Ni6U4,-0.3444,-93.225
164300,N4Os9Si3Ta12,-0.702,-312.6184
164301,B4Fe2Hf4Ru10,-0.56,-187.4304
164302,Cl4Ga10Nd8,-1.1852,-101.8944
164303,As6Co9Si1Tm2V3,-0.6255,-146.6946
164304,B2I15Sm8Tb2,-1.3796,-120.4847
164305,Er1Ho1P4Pd4Sr2,-1.1431,-68.6186
164306,Dy2Ni4Pa2Si4,-0.7349,-81.8829
164307,Er3Rh2Sn3Zn1,-0.806,-48.9747
164308,Mg1Nd2Pa2Rh4Zn3,-0.6525,-71.2328
164309,Ga2Hf18Re2Ta6,-0.1686,-286.0413
164310,N1Nb2Sn4Ti10,-0.5353,-132.6322
164311,B4Be2Co9Dy2La1,-0.4165,-119.8185
164312,Hf10Si16Ta9Zr1,-0.7586,-328.9533
164313,Ho8Os3Ru1Tm2,-0.3227,-93.0855
164314,Bi4Ga8Ho17Lu3,-0.5742,-149.6229
164315,F24K7O16Rb1S4Sb8,-2.5291,-335.1194
164316,Cd6Ho14Ru2Tb3Y3,-0.2642,-128.9409
164317,Ga6Ho12Nd8Si10,-0.6858,-190.2443
164318,Bi2Er10Ga2Ir2,-0.6995,-88.3824
164319,Dy2Si5Sn1Tb8,-0.6702,-88.1471
164320,Dy3Hf1Ir3Sn2,-0.8704,-66.1459
164321,Rh6Sn6Tm3U3,-0.7105,-128.3335
164322,Bi2N1O7Os2,-1.4036,-90.0505
164323,Ac4Ga20Pt12,-0.7893,-178.3132
164324,Li1Na3P12Si12,-0.2493,-142.9191
164325,C1Cu5N3Ni3Ta16,-0.5068,-275.9873
164326,Na3O6Pa1Yb2,-3.1503,-84.0658
164327,Er3Pd1Pt2Sn3,-1.0418,-52.4299
164328,Ag1Br1O2Sr2,-2.3199,-31.6639
164329,Dy12Er1Rh6Tm1,-0.6251,-121.0129
164330,Mn1Pr6Se14Si2,-1.7034,-136.8199
164331,Cs2Cu2Hf4Se10,-1.4726,-111.2843
164332,F34I1U1,-1.3448,-126.2197
164333,Co3Ni1Pa4Pd2,-0.5058,-80.5817
164334,Br1Cl26,-0.5355,-64.1577
164335,As2Co1Cr1Li2,-0.4711,-32.7242
164336,Bi3Nd10S1Sn3,-0.9791,-92.162
164337,Co10Mn2P7Sm1Y1,-0.814,-155.5804
164338,Ag2Au4Rb5,-0.2592,-26.5148
164339,B24Mg4Os4Pa4,-0.4685,-266.5412
164340,Al18Lu2Ni3Rh3Y2,-0.7093,-148.6891
164341,B24Er2Mn2Ru2Tm6,-0.7001,-258.3731
164342,Ho4La1Nd15Pb16,-0.5858,-175.2774
164343,Hf3Ho1Rh6Sn6Tb2,-0.8444,-127.1654
164344,Li4Lu2Pt4Y2,-0.9015,-64.712
164345,Al2C4Cr4Si6Ta12,-0.5702,-273.8205
164346,Ce2Cu1Hg3Nd1Pd2,-0.54,-36.8646
164347,Er2Ho1In3Ni1Rh2,-0.6883,-48.6761
164348,Al18Ho4Pd3Pt2Re1,-0.7355,-146.4712
164349,Er1Hf12Si16Tm7,-0.796,-270.8456
164350,Pt9Rh3Ta3Zn1,-0.634,-123.7087
164351,Ag1Bi3Ir2O14Rh2,-1.3756,-146.4432
164352,Co1Dy2Er1I12Y4,-1.4488,-94.0199
164353,Mn4Rh1Se8,-0.7404,-81.6048
164354,Li12Na4O16Ti4,-2.66,-234.7076
164355,Lu1O12Ru2Sr4Yb1,-2.7844,-146.4301
164356,Ac2Dy2Ge1Si3Zn4,-0.6059,-50.6644
164357,Ni3S1Zn20Zr6,-0.4265,-110.7529
164358,Ag2Hg1Mg1Pt2Ru2Tb16,-0.4552,-123.2373
164359,Al3Cs4Ga1H8,-0.2807,-49.4795
164360,Be4Eu1F16Sr3,-3.9,-154.5029
164361,Ho4Nb3Sn10Ti5,-0.4828,-138.8282
164362,Be2Ge2Pa1Tm1,-0.5042,-33.7408
164363,Fe1Mn3O8Rb1,-1.8557,-100.644
164364,K4O16V4Yb4,-2.8513,-205.9396
164365,Co2H2P2Pa2,-0.8755,-57.8619
164366,Al18Lu2Rh6Sc1Zr1,-0.8108,-158.2297
164367,Ce11Mg1Rh8Si8,-0.866,-193.43
164368,Cu18Mg4Th2,-0.1498,-98.611
164369,Al4Hf10Ir8Sc2,-0.9063,-219.6779
164370,B5Os3Sm1Yb1,-0.4597,-77.934
164371,Dy4Ru4Tb1Yb5,-0.2536,-71.4073
164372,B3Be1Zr2,-0.7952,-45.6442
164373,La12Nd2Ni5Tc1,-0.1936,-111.9019
164374,Dy6Er14Pb16,-0.5134,-169.4744
164375,La7Li1Rh6Tb1,-0.6679,-95.2999
164376,Co4Mn16P12Y4,-0.7745,-293.7314
164377,Bi8Fe1Sb3Tm20,-0.6668,-162.8331
164378,Co17Dy2Er4P12Ta1,-0.9745,-260.2238
164379,As12Co8Eu4Rh12,-0.6104,-264.2894
164380,Al1Ni4Sc12Tc1,-0.3544,-119.5954
164381,Ga18Rh6Sc4,-0.6514,-142.2615
164382,Al3La8Pd1Si12,-0.7269,-138.4534
164383,B24Ho1Lu5Pa2Re4,-0.7151,-282.044
164384,Co8Mn2Sc6U2,-0.3294,-141.6972
164385,Mn4O30Pb8S2Si6,-2.3572,-373.4745
164386,Ac2Pr1Sm1Sn2Zn10,-0.4412,-45.4184
164387,Co2Sm2Sn12Tm3Yb1,-0.5264,-97.2647
164388,Ac1Cs1O8Se2,-2.0396,-76.0673
164389,As2Ni12P4Si1Tb2,-0.7109,-129.9568
164390,Ir2Os1Ru1Si4Ta4,-0.7214,-115.9674
164391,Al1Pt3Rh3V1,-0.5469,-57.5103
164392,Nd1P1Te1Tm1,-1.6341,-24.3369
164393,Lu2Os1Pa2Tc7,-0.2672,-115.0293
164394,As4Cs2Pd1Pt1Rb2,-0.511,-38.749
164395,Al1Er10O24Ru3,-3.3044,-321.5648
164396,Ge1La1Ni4,-0.4439,-35.3428
164397,Ir4O14Tb4,-2.5202,-178.6075
164398,Cd4La14Nd2Pd3Ru1,-0.3829,-116.3356
164399,O20Pr2Si4Sm2Y4,-3.7584,-285.795
164400,Ho6P1Pt7Zn16,-0.7404,-117.7722
164401,Al8Eu8Ga2Pr2,-0.3835,-135.5895
164402,Ir6Sc1W1,-0.5091,-76.394
164403,Ca1Pt16Sr15Th4,-0.8983,-186.4755
164404,Ga2Nd2Ni4P2,-0.8563,-58.1025
164405,Ga6Hf6Os2Pd2Pt2,-0.7814,-136.9324
164406,Ga20Lu4Os6,-0.4055,-158.1741
164407,Al3Pd2Si1Tb3,-0.8372,-48.4601
164408,As1Ga11Sc12Si4Sm8,-0.7006,-198.6304
164409,As2Cd1Er3Li3,-0.7911,-36.7912
164410,La2O12Pr2Ti2V2,-3.4754,-182.2764
164411,Cd4Ho12Os1Pr4Pt3,-0.528,-119.9164
164412,Er1Si16Ta10Ti2Y7,-0.745,-297.8254
164413,Hg4Si4Sm9Tb1,-0.5506,-79.9289
164414,Co3Ga18Pd3Tb4,-0.5709,-125.8918
164415,Bi6O22Ru4Y2,-1.9203,-247.5176
164416,Ag2As16Au6Pr6Th2,-0.7848,-168.4798
164417,In1P1Pt8Y1,-0.6314,-70.1444
164418,Ho6Os1Rh3Si6,-0.9462,-108.5054
164419,S2Sm4Te2,-1.9389,-48.9448
164420,Bi1Co4Er3Ru1Tm9,-0.3559,-101.9891
164421,As4Dy2La1Ni4Y1,-1.0638,-75.1392
164422,Er2Ru2Sc2Zn8,-0.4513,-56.745
164423,Ho1Pa1Pt4Tb2,-1.1901,-57.17
164424,Be23Cu3Dy1Lu1,-0.1979,-112.9731
164425,Er3Ho1In8Pt4Sc6,-0.8106,-120.4115
164426,Pb4Si2Zr10,-0.4776,-118.8202
164427,Ho7Pb1Si5Y3,-0.6607,-92.8872
164428,C2Cl5Pr6S1,-1.8115,-85.8784
164429,In3Nd1Pd3Th2,-0.7655,-50.2803
164430,Er8Pd19Pt5Sn1,-0.9449,-200.5057
164431,Eu2F2P2Tc2,-2.0505,-72.3586
164432,Nd2O2P2Re1Rh1,-2.0911,-66.7965
164433,Au1Pd7Pr6,-0.7952,-79.3515
164434,I12Na1Nd6Ni1,-1.491,-83.8201
164435,Cl20Gd4Tl8,-2.0641,-178.3005
164436,Cs2Gd2Se8Si2,-1.5308,-90.2325
164437,Li2Nd4Pt4Zn2,-0.8525,-59.9234
164438,Pa1Pd24Sb1Yb7,-0.7693,-174.1235
164439,Bi12Ho1Sc18Tb1,-0.6179,-189.6534
164440,As1Hg1In3Se4,-0.6186,-32.7689
164441,Ge1In1Li3Lu3Si1,-0.5496,-37.0361
164442,Os1Rh2Zn22,-0.1578,-57.6164
164443,Er2Lu2Ni1Ru7,-0.3985,-93.6607
164444,Al24Au1Lu1Os7Tm5,-0.5883,-221.0153
164445,Ac2Ni4Zn18,-0.2787,-60.7267
164446,Nd8Pd24V1,-0.7717,-197.0114
164447,In4Ru1Tm3Zn1,-0.4494,-39.0129
164448,P4Pr1Rb1Tc4,-0.6792,-75.6488
164449,Ca1Dy2Lu3Ru8Si24,-0.6224,-252.836
164450,Ba2Ho2N14Si8,-1.4523,-210.8766
164451,As2Li5Ni9P5,-0.6012,-110.5762
164452,Ho2Ir3Mo1,-0.7243,-50.8717
164453,Co1I5La2Tm2,-1.3124,-46.6756
164454,Al4Hf3Mo3Zn1Zr1,-0.3731,-91.6754
164455,Dy1Ni20Si12Tb2Tm1,-0.7162,-224.8405
164456,Bi4Er10Ga4,-0.6891,-85.7533
164457,Lu7Pt16Sc12Sm1,-1.19,-252.3279
164458,Fe1Pd1Pt6,-0.1332,-51.1413
164459,Cd3Ho20Ru2Zn3,-0.2604,-124.0373
164460,Ga6Pr16Tc2,-0.2984,-122.5462
164461,Dy9Lu2Rh6Tb3,-0.6279,-121.1493
164462,Lu1Si4Tb4Tm1,-0.6964,-56.1991
164463,Co4Hf16Pd3Ru1,-0.4354,-223.0128
164464,Au10Lu6Sc2,-0.8808,-88.384
164465,H1Mg1Na2O11,-1.173,-79.6599
164466,Co15Fe2Th1Y1,-0.1155,-139.6387
164467,Co7P6Pd2Tb3,-0.9494,-123.5906
164468,Er8Ga20Hf4,-0.6013,-156.1726
164469,Rh8Tm3Zn4Zr1,-0.7502,-97.9312
164470,Dy1Gd7Ru4Sm2,-0.3102,-154.1597
164471,Mg3Nd3Pb2Pd1,-0.5352,-36.5277
164472,H3Nd2Pd16Zn1,-0.3904,-112.4408
164473,La1Li3Pb3Sm2,-0.5187,-35.9152
164474,B4Mg3Mn3Rh10,-0.4318,-141.2827
164475,B1I17Ir1Pr12,-1.4258,-142.9973
164476,Mg2P1Sc10Si15Tm8,-0.8139,-218.4261
164477,Ga9Ho1Pd2Sm1Yb1,-0.6572,-57.6542
164478,Co2Dy2Eu4Sn12,-0.5407,-123.5282
164479,Al24Ni1Ru7Th6,-0.6444,-229.5636
164480,Bi3O14Rh4Zn1,-1.4515,-143.5917
164481,B16Lu9Mg1Si4,-0.6589,-190.6272
164482,B8Ho8Rh18Si2,-0.8402,-263.751
164483,P6Re6Ta1U4,-0.6685,-175.5357
164484,Hf10P1Sn6,-0.575,-138.8184
164485,Co18P12Ru2Tm4,-0.8629,-260.4254
164486,Rb16Se8Te8Zr4,-1.3889,-152.9942
164487,Li3Pb3Sr1Yb2,-0.472,-25.8815
164488,Ce1Cu20Nd3Sn4,-0.251,-125.2876
164489,Be2Pr3Si6Yb1,-0.5878,-62.967
164490,Sm8Sn16Tm12,-0.742,-182.3231
164491,Al6Ba2Ca4Ga4,-0.3945,-52.7589
164492,F8Fe8Ge4O16,-2.1195,-257.0145
164493,Ca12Gd1Nd7Sn16,-0.7273,-161.8759
164494,Ca6Fe2O14Ru2,-2.4798,-176.308
164495,Ga8Ir8La12,-0.7604,-175.4554
164496,Au4Ge1P3Sr4,-0.8545,-50.8657
164497,Er1Si16Ta4Ti8Y7,-0.7781,-275.2463
164498,Er4Fe1Mn1Si4,-0.6737,-64.3409
164499,Co14Er6Ni2P12W2,-0.9646,-264.0857
164500,Dy2Er2Lu4Rh4Si12,-0.9207,-153.0909
164501,Cs4Dy12S20,-2.2773,-223.575
164502,Ga1Ho6Pa2Pd24,-0.9019,-203.6304
164503,Ca1In1La4Pd4,-0.7752,-52.9725
164504,Dy4Os4Tc3W1,-0.2595,-110.4909
164505,Dy2Fe1Ho4O12Sc1,-3.7399,-176.5183
164506,Er1Ho1Nd8Pb6,-0.5393,-78.2001
164507,I10Ir1Nd1Pr1Y4,-1.5281,-85.4706
164508,Co4Ga1La9Pd2,-0.3719,-92.1954
164509,Ho1Nb12Si16Tb7,-0.7807,-273.15
164510,Pd2Ru2Th4Tl2,-0.5966,-69.253
164511,Cl10Fe1Nd4Tb2,-2.191,-92.5439
164512,As9Co19Lu4P3Tm1,-0.662,-239.6216
164513,Ag1Nd1Rh1Zn3,-0.4272,-21.3077
164514,As3Ga3Sc10,-0.8482,-99.9581
164515,Cd4Ce1Dy3Ru4Tm12,-0.3554,-122.7823
164516,Dy10Pd1Si16,-0.7145,-157.3434
164517,Al18Ho1Ir3Pd3Y3,-0.8086,-156.0981
164518,Dy1La2O24W4Y5,-3.2965,-336.0704
164519,Bi4Cs4K2Pr1Tl1,-0.4479,-33.8794
164520,Ga2Li14Sn8Sr6,-0.4977,-89.9669
164521,Pt1Sr5,-0.383,-16.8161
164522,B1Ho1Ir6Pa1,-0.8021,-81.0257
164523,Ni19Th2Tm3,-0.4307,-148.4136
164524,Co16Lu6P12Sc2,-1.0383,-255.8626
164525,Ru8Sc1Si24Y4Yb1,-0.6286,-262.0283
164526,Nd2Os7Re1Th2,-0.1856,-117.6268
164527,Cd4Ce5Ho5Ru4Tm6,-0.3417,-128.4221
164528,Bi8Ge3Ho20Si1,-0.7059,-164.6531
164529,Li1Os4Tc3Zr8,-0.4593,-153.6305
164530,Rh1Si16W11Yb8,-0.3976,-263.3377
164531,Ho6Ir6Na1Sn23,-0.507,-192.318
164532,B1Nb1Ru6U1,-0.3767,-87.109
164533,Ag1Cu6Si1Zn16Zr6,-0.3119,-113.6516
164534,Al8C4Fe2Re2Ta12,-0.5212,-265.5877
164535,Ho5Li8Sb1Sn7Tb3,-0.6908,-100.8623
164536,B8Dy4Ni2O20,-3.0828,-287.1976
164537,Ac4N4Ni2,-1.0576,-71.9674
164538,Co8P12Ru10Y6,-0.942,-287.2818
164539,F6Li1Pa1,-3.9557,-54.5382
164540,Mg2Nd3Pd2Sn4,-0.7525,-51.9849
164541,I12Mn7O1,-0.8946,-105.2626
164542,B24Ce1K2Np1,-0.2711,-188.9966
164543,Ba1S16Ti12,-1.8039,-215.1616
164544,Ho1N12Re4Tm2Y1,-0.8991,-187.799
164545,As6Ir4Ru3Tm4,-0.8542,-123.5558
164546,In1Lu12Ni4Zn1,-0.3809,-88.2391
164547,Al3Ge2Pd1Y2Yb1,-0.7705,-47.0698
164548,Dy10Se1Sn6,-0.9233,-89.3173
164549,Al2Co12Ga4Ta6,-0.401,-185.6741
164550,Ca2Cu6Sm2Zn28,-0.24,-82.4372
164551,Er2Ir8Rh4Y18,-0.7757,-250.519
164552,Ba1In4Ir2Mg3Sn2,-0.3741,-47.9123
164553,Al4Nd4Pt2Rh2,-0.9419,-72.228
164554,O16Rb2S4Se2,-1.7389,-146.4005
164555,Ho4P12Pd10Rh10,-0.8859,-240.625
164556,Au4Pd2Pr6Rh2,-0.7865,-77.8796
